{'Decanus': 42.72, 'Legatus legionis': 1.01, 'Decurion': 25.96, 'Centurion': 15.58, 'Praefectus castrorum': 5.8, 'Tribunus laticlavius': 1.92, 'Pilus prior': 8.2}
{'Gold Car Paint': 14.39, 'Red Car Paint': 14.81, 'Purple Car Paint': 14.39, 'Green Car Paint': 14.5, 'Black Car Paint': 14.68, 'Yellow Car Paint': 14.08, 'Blue Car Paint': 14.34}
{'Carbon Fiber': 11.55, 'Digital Camo': 7.92, 'MSMC Copper Matte': 8.08, 'TitaniumBlk': 12.17, 'Lambo Gold': 1.18, 'Cosmic Blue': 12.2, 'Matte Black': 12.62, 'Trippy Black/Red': 2.34, 'Trippy Yellow': 2.2, 'MSMC Copper Liquid': 7.85, 'Ice': 1.24, 'Holographic': 8.13, 'Lava': 2.33, 'Neon': 2.04, 'Hot Pink': 2.41, 'Trippy Red/Black': 2.38, 'Fire': 1.0, 'Electric': 1.17, 'Trippy Black/White': 2.38}
{'Guardian 1 / BASE': 42.03, 'Guardian 5 / WINGS': 5.59, 'Guardian 3': 16.57, 'Guardian 2': 25.45, 'Guardian 4': 11.55}
{'Daft Punk': 1.22, 'Green Eyes': 10.87, 'KILL Text': 6.22, 'X_X': 6.75, 'xD': 6.56, 'Blue Skull': 5.03, '$': 5.15, 'Blue Eyes': 10.37, 'Red Skull': 3.44, ':)': 6.57, 'o_o': 6.83, 'Heart': 7.24, 'SOL Symbol': 4.74, 'Mask': 2.31, 'Target': 2.44, 'Red Eyes': 10.76, 'Green Skull': 4.69}
1: Decanus, Gold Car Paint, Carbon Fiber, Guardian 1 / BASE, Daft Punk, No Weapon
19: Decanus, Purple Car Paint, Carbon Fiber, Guardian 3, Red Skull, No Weapon
20: Decanus, Green Car Paint, Carbon Fiber, Guardian 4, X_X, Fire Sniper
21: Decanus, Black Car Paint, MSMC Copper Liquid, Guardian 2, $, No Weapon
22: Legatus legionis, Blue Car Paint, MSMC Copper Liquid, Guardian 2, Blue Skull, No Weapon
23: Decanus, Purple Car Paint, Ice, Guardian 2, Green Eyes, Sniper
24: Decanus, Yellow Car Paint, Cosmic Blue, Guardian 4, Green Eyes, Ice Katana
25: Decurion, Yellow Car Paint, Holographic, Guardian 1 / BASE, o_o, No Weapon
26: Decanus, Yellow Car Paint, Carbon Fiber, Guardian 1 / BASE, $, No Weapon
27: Decanus, Gold Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Green Eyes, Katana
28: Praefectus castrorum, Yellow Car Paint, Matte Black, Guardian 4, Heart, No Weapon
29: Decanus, Yellow Car Paint, Cosmic Blue, Guardian 3, Red Skull, No Weapon
30: Decurion, Gold Car Paint, TitaniumBlk, Guardian 1 / BASE, Blue Skull, No Weapon
31: Decurion, Yellow Car Paint, Digital Camo, Guardian 4, Green Eyes, Flamethrower X
32: Decanus, Red Car Paint, Matte Black, Guardian 3, Heart, No Weapon
33: Decanus, Yellow Car Paint, MSMC Copper Liquid, Guardian 5 / WINGS, xD, No Weapon
34: Decanus, Purple Car Paint, Matte Black, Guardian 3, Blue Eyes, No Weapon
35: Pilus prior, Green Car Paint, Matte Black, Guardian 5 / WINGS, SOL Symbol, No Weapon
36: Pilus prior, Blue Car Paint, Cosmic Blue, Guardian 1 / BASE, KILL Text, No Weapon
37: Decanus, Yellow Car Paint, Lava, Guardian 1 / BASE, Green Eyes, Katana
38: Decanus, Red Car Paint, Cosmic Blue, Guardian 2, o_o, No Weapon
39: Centurion, Red Car Paint, Digital Camo, Guardian 2, Heart, No Weapon
40: Centurion, Yellow Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Red Skull, Sniper
41: Decanus, Purple Car Paint, MSMC Copper Matte, Guardian 4, Blue Eyes, Fire Sniper
42: Decanus, Green Car Paint, TitaniumBlk, Guardian 1 / BASE, Green Eyes, No Weapon
43: Centurion, Green Car Paint, Cosmic Blue, Guardian 2, xD, No Weapon
44: Tribunus laticlavius, Purple Car Paint, Trippy Black/Red, Guardian 3, Blue Skull, No Weapon
45: Decanus, Purple Car Paint, Digital Camo, Guardian 1 / BASE, Green Eyes, Sniper
46: Decanus, Red Car Paint, Lambo Gold, Guardian 2, Blue Eyes, No Weapon
47: Pilus prior, Gold Car Paint, Trippy Black/Red, Guardian 1 / BASE, Green Eyes, No Weapon
48: Decurion, Red Car Paint, Matte Black, Guardian 1 / BASE, Blue Eyes, Sniper
49: Decurion, Red Car Paint, Cosmic Blue, Guardian 5 / WINGS, Green Eyes, Fire Sniper
50: Decurion, Red Car Paint, Digital Camo, Guardian 1 / BASE, Mask, No Weapon
51: Decanus, Black Car Paint, TitaniumBlk, Guardian 4, X_X, Katana
52: Decanus, Yellow Car Paint, Ice, Guardian 2, Green Eyes, Katana
53: Decanus, Blue Car Paint, Cosmic Blue, Guardian 2, Target, No Weapon
54: Centurion, Yellow Car Paint, Cosmic Blue, Guardian 2, Red Skull, No Weapon
55: Centurion, Yellow Car Paint, Holographic, Guardian 2, Blue Eyes, Ice Katana
56: Decanus, Blue Car Paint, Carbon Fiber, Guardian 1 / BASE, Blue Skull, No Weapon
57: Decurion, Gold Car Paint, Cosmic Blue, Guardian 2, Red Eyes, No Weapon
58: Decanus, Purple Car Paint, TitaniumBlk, Guardian 2, X_X, No Weapon
59: Decurion, Blue Car Paint, Holographic, Guardian 4, Red Eyes, No Weapon
60: Decanus, Green Car Paint, Lambo Gold, Guardian 1 / BASE, Heart, No Weapon
61: Decanus, Purple Car Paint, Matte Black, Guardian 1 / BASE, Red Eyes, No Weapon
62: Pilus prior, Blue Car Paint, Holographic, Guardian 2, Red Eyes, No Weapon
63: Decanus, Red Car Paint, Cosmic Blue, Guardian 2, Blue Eyes, No Weapon
64: Decanus, Purple Car Paint, Matte Black, Guardian 2, :), Sniper
65: Decanus, Red Car Paint, Neon, Guardian 1 / BASE, Red Eyes, No Weapon
66: Pilus prior, Green Car Paint, MSMC Copper Matte, Guardian 2, :), Electric Sniper
67: Centurion, Black Car Paint, Carbon Fiber, Guardian 3, Green Eyes, No Weapon
68: Decanus, Gold Car Paint, Matte Black, Guardian 1 / BASE, Red Eyes, Electric Katana
69: Decanus, Yellow Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, X_X, No Weapon
70: Centurion, Green Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Green Eyes, No Weapon
71: Decanus, Yellow Car Paint, Matte Black, Guardian 1 / BASE, Green Eyes, No Weapon
72: Centurion, Blue Car Paint, Ice, Guardian 3, KILL Text, No Weapon
73: Decanus, Yellow Car Paint, Trippy Yellow, Guardian 1 / BASE, Mask, Sniper
74: Decurion, Green Car Paint, Holographic, Guardian 5 / WINGS, o_o, No Weapon
75: Decanus, Black Car Paint, Cosmic Blue, Guardian 1 / BASE, Heart, No Weapon
76: Decurion, Purple Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, xD, Sniper
77: Decanus, Gold Car Paint, Hot Pink, Guardian 4, Blue Eyes, No Weapon
78: Decanus, Purple Car Paint, Lava, Guardian 2, Blue Eyes, Elemental Sniper X
79: Decurion, Green Car Paint, MSMC Copper Matte, Guardian 1 / BASE, SOL Symbol, No Weapon
80: Decanus, Blue Car Paint, Digital Camo, Guardian 1 / BASE, xD, No Weapon
81: Decanus, Green Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Heart, Electric Sniper
82: Decurion, Gold Car Paint, Trippy Black/Red, Guardian 1 / BASE, Green Eyes, No Weapon
83: Decanus, Blue Car Paint, Trippy Red/Black, Guardian 1 / BASE, Red Eyes, No Weapon
84: Decurion, Blue Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Blue Eyes, No Weapon
85: Decurion, Red Car Paint, MSMC Copper Matte, Guardian 3, KILL Text, Katana
86: Centurion, Yellow Car Paint, Trippy Black/Red, Guardian 2, $, Fire Katana
87: Decurion, Green Car Paint, TitaniumBlk, Guardian 1 / BASE, Blue Eyes, No Weapon
88: Decurion, Purple Car Paint, Trippy Yellow, Guardian 1 / BASE, Blue Eyes, No Weapon
89: Decanus, Black Car Paint, TitaniumBlk, Guardian 5 / WINGS, Blue Eyes, No Weapon
90: Centurion, Gold Car Paint, Carbon Fiber, Guardian 3, Green Skull, No Weapon
91: Decurion, Black Car Paint, TitaniumBlk, Guardian 1 / BASE, Heart, No Weapon
92: Centurion, Blue Car Paint, Matte Black, Guardian 2, Red Eyes, No Weapon
93: Decanus, Black Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, KILL Text, No Weapon
94: Decurion, Green Car Paint, Matte Black, Guardian 2, SOL Symbol, No Weapon
95: Centurion, Purple Car Paint, Fire, Guardian 5 / WINGS, Target, No Weapon
96: Decanus, Red Car Paint, TitaniumBlk, Guardian 2, Blue Eyes, No Weapon
97: Praefectus castrorum, Purple Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Blue Eyes, Katana
98: Centurion, Yellow Car Paint, Matte Black, Guardian 2, Red Eyes, No Weapon
99: Decurion, Black Car Paint, Hot Pink, Guardian 1 / BASE, Green Eyes, No Weapon
100: Decanus, Gold Car Paint, Cosmic Blue, Guardian 4, Target, No Weapon
101: Centurion, Purple Car Paint, Ice, Guardian 1 / BASE, Green Eyes, No Weapon
102: Decanus, Black Car Paint, Holographic, Guardian 4, :), No Weapon
103: Decurion, Yellow Car Paint, Cosmic Blue, Guardian 4, KILL Text, No Weapon
104: Decanus, Red Car Paint, Trippy Red/Black, Guardian 1 / BASE, Red Eyes, Sniper
105: Pilus prior, Purple Car Paint, Carbon Fiber, Guardian 1 / BASE, :), No Weapon
106: Decanus, Red Car Paint, Hot Pink, Guardian 2, KILL Text, No Weapon
107: Decurion, Gold Car Paint, Cosmic Blue, Guardian 3, Red Eyes, No Weapon
108: Decurion, Red Car Paint, MSMC Copper Matte, Guardian 1 / BASE, $, No Weapon
109: Decanus, Gold Car Paint, MSMC Copper Matte, Guardian 2, Mask, No Weapon
110: Centurion, Red Car Paint, Cosmic Blue, Guardian 1 / BASE, Blue Skull, Electric Katana
111: Decanus, Purple Car Paint, Matte Black, Guardian 3, o_o, Katana
112: Decurion, Green Car Paint, Matte Black, Guardian 1 / BASE, Green Skull, Katana
113: Decanus, Yellow Car Paint, Matte Black, Guardian 1 / BASE, Red Eyes, Sniper
114: Decurion, Yellow Car Paint, Digital Camo, Guardian 2, xD, Electric Sniper
115: Decanus, Purple Car Paint, Hot Pink, Guardian 1 / BASE, o_o, No Weapon
116: Centurion, Purple Car Paint, MSMC Copper Matte, Guardian 2, Green Eyes, No Weapon
117: Centurion, Yellow Car Paint, Matte Black, Guardian 4, xD, No Weapon
118: Decanus, Green Car Paint, MSMC Copper Matte, Guardian 3, o_o, No Weapon
119: Decanus, Blue Car Paint, Carbon Fiber, Guardian 1 / BASE, Heart, No Weapon
120: Decanus, Red Car Paint, Digital Camo, Guardian 2, $, Sniper
121: Decanus, Black Car Paint, Digital Camo, Guardian 2, X_X, No Weapon
122: Decurion, Yellow Car Paint, Carbon Fiber, Guardian 1 / BASE, :), No Weapon
123: Decurion, Blue Car Paint, MSMC Copper Matte, Guardian 3, SOL Symbol, Flamethrower X
124: Decanus, Yellow Car Paint, Electric, Guardian 1 / BASE, KILL Text, Sniper
125: Praefectus castrorum, Red Car Paint, Trippy Black/Red, Guardian 4, o_o, No Weapon
126: Decanus, Yellow Car Paint, Carbon Fiber, Guardian 1 / BASE, o_o, No Weapon
127: Decanus, Purple Car Paint, Holographic, Guardian 1 / BASE, Red Skull, No Weapon
128: Decanus, Yellow Car Paint, Digital Camo, Guardian 4, Blue Eyes, No Weapon
129: Decurion, Gold Car Paint, Digital Camo, Guardian 4, Red Eyes, No Weapon
130: Decanus, Yellow Car Paint, Cosmic Blue, Guardian 2, Green Eyes, Sniper
131: Pilus prior, Red Car Paint, MSMC Copper Liquid, Guardian 2, Blue Skull, No Weapon
132: Decanus, Gold Car Paint, Cosmic Blue, Guardian 1 / BASE, :), No Weapon
133: Decurion, Blue Car Paint, TitaniumBlk, Guardian 4, Red Eyes, No Weapon
134: Decanus, Gold Car Paint, Trippy Black/Red, Guardian 2, Red Skull, Ice Katana
135: Decanus, Purple Car Paint, MSMC Copper Matte, Guardian 2, Heart, No Weapon
136: Decurion, Gold Car Paint, Cosmic Blue, Guardian 1 / BASE, KILL Text, No Weapon
137: Decurion, Green Car Paint, Holographic, Guardian 3, :), Katana
138: Centurion, Yellow Car Paint, TitaniumBlk, Guardian 2, Red Skull, Fire Katana
139: Decanus, Yellow Car Paint, MSMC Copper Matte, Guardian 2, Red Skull, No Weapon
140: Decanus, Purple Car Paint, Lava, Guardian 1 / BASE, :), No Weapon
141: Decanus, Blue Car Paint, Ice, Guardian 3, Mask, Fire Katana
142: Decurion, Purple Car Paint, Matte Black, Guardian 3, xD, Katana
143: Praefectus castrorum, Blue Car Paint, TitaniumBlk, Guardian 1 / BASE, $, No Weapon
144: Decurion, Green Car Paint, Cosmic Blue, Guardian 2, Heart, Katana
145: Decanus, Yellow Car Paint, Matte Black, Guardian 1 / BASE, X_X, Electric Sniper
146: Decanus, Purple Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Red Eyes, No Weapon
147: Decanus, Gold Car Paint, Cosmic Blue, Guardian 1 / BASE, Green Skull, No Weapon
148: Decanus, Gold Car Paint, Digital Camo, Guardian 3, $, No Weapon
149: Decanus, Green Car Paint, Carbon Fiber, Guardian 2, SOL Symbol, No Weapon
150: Decanus, Red Car Paint, Carbon Fiber, Guardian 4, Red Skull, No Weapon
151: Decanus, Gold Car Paint, TitaniumBlk, Guardian 1 / BASE, xD, No Weapon
152: Decanus, Red Car Paint, MSMC Copper Matte, Guardian 2, Blue Eyes, No Weapon
153: Decurion, Yellow Car Paint, Carbon Fiber, Guardian 2, Heart, Katana
154: Decanus, Green Car Paint, TitaniumBlk, Guardian 1 / BASE, Red Eyes, Katana
155: Decurion, Purple Car Paint, Holographic, Guardian 2, :), No Weapon
156: Decanus, Blue Car Paint, Digital Camo, Guardian 2, xD, No Weapon
157: Centurion, Green Car Paint, Matte Black, Guardian 1 / BASE, Red Eyes, No Weapon
158: Pilus prior, Blue Car Paint, Digital Camo, Guardian 2, X_X, No Weapon
159: Pilus prior, Red Car Paint, Holographic, Guardian 1 / BASE, X_X, Katana
160: Centurion, Gold Car Paint, Carbon Fiber, Guardian 2, Mask, Sniper
161: Centurion, Yellow Car Paint, Carbon Fiber, Guardian 2, Green Eyes, No Weapon
162: Decanus, Purple Car Paint, TitaniumBlk, Guardian 2, Heart, Katana
163: Decanus, Blue Car Paint, Trippy Black/Red, Guardian 1 / BASE, Red Eyes, Sniper
164: Decurion, Yellow Car Paint, Matte Black, Guardian 4, Blue Eyes, No Weapon
165: Decanus, Purple Car Paint, TitaniumBlk, Guardian 2, Red Eyes, No Weapon
166: Pilus prior, Blue Car Paint, Trippy Black/Red, Guardian 1 / BASE, Mask, No Weapon
167: Legatus legionis, Green Car Paint, MSMC Copper Matte, Guardian 2, Blue Eyes, Katana
168: Decurion, Black Car Paint, Cosmic Blue, Guardian 1 / BASE, Heart, Katana
169: Decanus, Black Car Paint, Cosmic Blue, Guardian 4, :), No Weapon
170: Decurion, Green Car Paint, Matte Black, Guardian 1 / BASE, Green Eyes, No Weapon
171: Decurion, Green Car Paint, Carbon Fiber, Guardian 3, Blue Eyes, No Weapon
172: Decanus, Red Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Heart, Sniper
173: Decurion, Blue Car Paint, Carbon Fiber, Guardian 1 / BASE, Green Eyes, Katana
174: Centurion, Yellow Car Paint, Cosmic Blue, Guardian 1 / BASE, $, No Weapon
175: Decanus, Green Car Paint, MSMC Copper Matte, Guardian 3, KILL Text, No Weapon
176: Decanus, Green Car Paint, Lava, Guardian 1 / BASE, o_o, No Weapon
177: Tribunus laticlavius, Black Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Green Eyes, No Weapon
178: Decanus, Black Car Paint, Cosmic Blue, Guardian 3, Green Skull, Electric Sniper
179: Decanus, Green Car Paint, Matte Black, Guardian 1 / BASE, X_X, No Weapon
180: Decanus, Gold Car Paint, Trippy Black/Red, Guardian 2, Green Eyes, Sniper
181: Decanus, Yellow Car Paint, Holographic, Guardian 4, Green Eyes, Sniper
182: Decanus, Gold Car Paint, Matte Black, Guardian 3, Red Eyes, No Weapon
183: Decanus, Purple Car Paint, MSMC Copper Liquid, Guardian 4, Blue Eyes, No Weapon
184: Decurion, Black Car Paint, Cosmic Blue, Guardian 1 / BASE, Blue Eyes, No Weapon
185: Decurion, Red Car Paint, Digital Camo, Guardian 1 / BASE, o_o, No Weapon
186: Decurion, Green Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Heart, No Weapon
187: Pilus prior, Blue Car Paint, TitaniumBlk, Guardian 2, Blue Eyes, No Weapon
188: Decanus, Black Car Paint, Trippy Black/Red, Guardian 4, Green Eyes, Sniper
189: Decanus, Yellow Car Paint, Carbon Fiber, Guardian 5 / WINGS, Green Eyes, No Weapon
190: Centurion, Purple Car Paint, TitaniumBlk, Guardian 3, Green Skull, No Weapon
191: Centurion, Black Car Paint, Matte Black, Guardian 2, Green Eyes, No Weapon
192: Decurion, Green Car Paint, Carbon Fiber, Guardian 4, Blue Skull, No Weapon
193: Decanus, Gold Car Paint, Holographic, Guardian 2, Green Skull, Katana
194: Decanus, Gold Car Paint, Trippy Black/White, Guardian 3, Green Skull, No Weapon
195: Decanus, Blue Car Paint, MSMC Copper Matte, Guardian 2, KILL Text, Electric Katana
196: Decurion, Purple Car Paint, TitaniumBlk, Guardian 3, o_o, Katana
197: Decanus, Yellow Car Paint, Digital Camo, Guardian 1 / BASE, KILL Text, No Weapon
198: Decanus, Black Car Paint, Trippy Black/White, Guardian 1 / BASE, KILL Text, No Weapon
199: Decanus, Blue Car Paint, Cosmic Blue, Guardian 4, Blue Eyes, Katana
200: Decurion, Green Car Paint, TitaniumBlk, Guardian 2, Red Eyes, No Weapon
201: Decanus, Red Car Paint, Electric, Guardian 2, Green Eyes, Sniper
202: Decanus, Red Car Paint, Matte Black, Guardian 4, Green Eyes, No Weapon
203: Decurion, Blue Car Paint, Trippy Yellow, Guardian 2, Blue Eyes, No Weapon
204: Decurion, Purple Car Paint, MSMC Copper Liquid, Guardian 4, Blue Eyes, No Weapon
205: Decurion, Gold Car Paint, Carbon Fiber, Guardian 3, Red Eyes, Fire Katana
206: Centurion, Black Car Paint, Digital Camo, Guardian 2, KILL Text, Ice Sniper
207: Decanus, Purple Car Paint, TitaniumBlk, Guardian 2, Blue Eyes, Katana
208: Centurion, Green Car Paint, MSMC Copper Liquid, Guardian 3, xD, No Weapon
209: Decanus, Yellow Car Paint, Matte Black, Guardian 1 / BASE, Red Eyes, No Weapon
210: Decanus, Black Car Paint, Holographic, Guardian 1 / BASE, Blue Eyes, No Weapon
211: Decanus, Green Car Paint, Matte Black, Guardian 2, Red Skull, No Weapon
212: Decurion, Green Car Paint, Carbon Fiber, Guardian 4, :), Sniper
213: Decurion, Yellow Car Paint, Cosmic Blue, Guardian 5 / WINGS, o_o, Electric Sniper
214: Decurion, Red Car Paint, MSMC Copper Matte, Guardian 5 / WINGS, Blue Skull, No Weapon
215: Centurion, Yellow Car Paint, Cosmic Blue, Guardian 3, Heart, No Weapon
216: Decanus, Black Car Paint, Cosmic Blue, Guardian 2, Target, Sniper
217: Decanus, Black Car Paint, MSMC Copper Matte, Guardian 2, Target, No Weapon
218: Praefectus castrorum, Green Car Paint, Holographic, Guardian 2, X_X, Sniper
219: Centurion, Green Car Paint, Matte Black, Guardian 3, KILL Text, No Weapon
220: Decanus, Red Car Paint, Holographic, Guardian 1 / BASE, KILL Text, Katana
221: Decanus, Gold Car Paint, Carbon Fiber, Guardian 5 / WINGS, Red Eyes, No Weapon
222: Decurion, Gold Car Paint, Cosmic Blue, Guardian 1 / BASE, Green Eyes, No Weapon
223: Decanus, Yellow Car Paint, Carbon Fiber, Guardian 1 / BASE, SOL Symbol, Electric Sniper
224: Praefectus castrorum, Red Car Paint, Matte Black, Guardian 1 / BASE, KILL Text, Electric Katana
225: Decurion, Red Car Paint, MSMC Copper Liquid, Guardian 3, Blue Skull, No Weapon
226: Decanus, Red Car Paint, Cosmic Blue, Guardian 1 / BASE, KILL Text, Ice Sniper
227: Decurion, Yellow Car Paint, Matte Black, Guardian 1 / BASE, Red Eyes, No Weapon
228: Decanus, Gold Car Paint, Digital Camo, Guardian 1 / BASE, X_X, Fire Sniper
229: Decanus, Yellow Car Paint, Matte Black, Guardian 2, Heart, Katana
230: Decurion, Blue Car Paint, MSMC Copper Liquid, Guardian 4, SOL Symbol, No Weapon
231: Decanus, Green Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Red Eyes, No Weapon
232: Decurion, Green Car Paint, Matte Black, Guardian 4, Red Eyes, No Weapon
233: Decanus, Blue Car Paint, Lambo Gold, Guardian 2, KILL Text, No Weapon
234: Decanus, Blue Car Paint, Trippy Red/Black, Guardian 2, Blue Eyes, No Weapon
235: Decanus, Green Car Paint, Holographic, Guardian 1 / BASE, xD, No Weapon
236: Decanus, Red Car Paint, Cosmic Blue, Guardian 4, SOL Symbol, No Weapon
237: Decanus, Green Car Paint, Hot Pink, Guardian 1 / BASE, Blue Skull, No Weapon
238: Centurion, Red Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Green Eyes, Katana
239: Decurion, Gold Car Paint, Digital Camo, Guardian 1 / BASE, Daft Punk, Fire Sniper
240: Decurion, Black Car Paint, MSMC Copper Matte, Guardian 2, X_X, No Weapon
241: Decanus, Black Car Paint, Holographic, Guardian 1 / BASE, :), Katana
242: Decanus, Blue Car Paint, Carbon Fiber, Guardian 2, o_o, No Weapon
243: Decanus, Purple Car Paint, Cosmic Blue, Guardian 3, Red Eyes, Sniper
244: Pilus prior, Gold Car Paint, Holographic, Guardian 3, o_o, Sniper
245: Decanus, Gold Car Paint, Carbon Fiber, Guardian 1 / BASE, o_o, No Weapon
246: Decanus, Blue Car Paint, MSMC Copper Liquid, Guardian 3, KILL Text, No Weapon
247: Decanus, Purple Car Paint, Neon, Guardian 2, Green Eyes, No Weapon
248: Decurion, Red Car Paint, MSMC Copper Matte, Guardian 2, SOL Symbol, No Weapon
249: Centurion, Black Car Paint, TitaniumBlk, Guardian 4, X_X, No Weapon
250: Centurion, Black Car Paint, TitaniumBlk, Guardian 1 / BASE, $, No Weapon
251: Decanus, Green Car Paint, Carbon Fiber, Guardian 1 / BASE, Daft Punk, No Weapon
252: Decanus, Red Car Paint, TitaniumBlk, Guardian 1 / BASE, Red Eyes, No Weapon
253: Decurion, Black Car Paint, Electric, Guardian 1 / BASE, Blue Skull, No Weapon
254: Decanus, Blue Car Paint, Matte Black, Guardian 1 / BASE, Green Eyes, No Weapon
255: Decanus, Black Car Paint, TitaniumBlk, Guardian 2, o_o, No Weapon
256: Centurion, Purple Car Paint, TitaniumBlk, Guardian 1 / BASE, :), Ice Sniper
257: Decanus, Red Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Blue Eyes, Katana
258: Decurion, Gold Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, $, No Weapon
259: Pilus prior, Yellow Car Paint, Trippy Black/Red, Guardian 2, X_X, Sniper
260: Decanus, Yellow Car Paint, TitaniumBlk, Guardian 4, Mask, Elemental Sniper X
261: Centurion, Green Car Paint, Matte Black, Guardian 1 / BASE, Green Eyes, Electric Sniper
262: Centurion, Blue Car Paint, Matte Black, Guardian 1 / BASE, X_X, No Weapon
263: Decurion, Green Car Paint, TitaniumBlk, Guardian 1 / BASE, Heart, No Weapon
264: Decanus, Yellow Car Paint, Matte Black, Guardian 1 / BASE, o_o, Katana
265: Pilus prior, Yellow Car Paint, Trippy Black/Red, Guardian 1 / BASE, Blue Eyes, No Weapon
266: Decanus, Green Car Paint, Cosmic Blue, Guardian 5 / WINGS, Blue Eyes, No Weapon
267: Decanus, Red Car Paint, TitaniumBlk, Guardian 5 / WINGS, Blue Eyes, No Weapon
268: Decurion, Purple Car Paint, Hot Pink, Guardian 2, KILL Text, No Weapon
269: Decurion, Blue Car Paint, Holographic, Guardian 1 / BASE, $, No Weapon
270: Decanus, Gold Car Paint, Carbon Fiber, Guardian 1 / BASE, Heart, No Weapon
271: Pilus prior, Green Car Paint, Holographic, Guardian 3, o_o, Sniper
272: Decurion, Blue Car Paint, Cosmic Blue, Guardian 1 / BASE, Blue Eyes, No Weapon
273: Decanus, Green Car Paint, Trippy Red/Black, Guardian 3, X_X, No Weapon
